IT SOURCE	EN SOURCE	GOOGLE TRANSLATE OOC	DEEPL OOC	MICROSOFT TRANSLATE OOC	IT SOURCE CONTEXT	EN GOLD STANDARD CONTEXT 	GOOGLE TRANSLATE IC	DEEPL IC	MICROSOFT TRANSLATE IC
tempietto tetrastilo	tetrastyle temple	tetrastyle temple	tetrastyle temple	tetrastyle temple	Esso venne dotato, nella seconda metà del I secolo d.C., di un bosco sacro ospitante un tempietto tetrastilo.	In the second half of the first century AD, a sacred wood featuring a small tetrastyle temple was added.	It was equipped, in the second half of the 1st century AD, with a sacred wood hosting a tetrastyle temple.	In the second half of the 1st century A.D., it was equipped with a sacred forest which housed a small tetrastyle temple.	It was endowed, in the second half of the 1st century A.D., with a sacred forest hosting a tetrastyle temple.
pilastro di portico	portico pillar	porch pillar	porch pillar	porch pillar	Il capitello corinzio o il pilastro di portico o arco quadrifronte, sul lato est, testimoniano la fase monumentale della città	The Corinthian capital, or the portico pillar, both of them on the eastern side of the exposition, recall the monumental phase of Adria	The Corinthian capital or the pillar of a portico or four-faced arch, on the east side, testify to the monumental phase of the city	The Corinthian capital or the portico pillar or four-sided arch on the east side bear witness to the monumental phase of the city.	The Corinthian capital or the pillar of porch or four-faced arch, on the east side, testify to the monumental phase of the city
antefisse a palmetta	palmetto antefixes	palmette antefix	palmette antefixes	palm-stick antefisses	due antefisse a palmetta di tipo etrusco-campano	two palmetto antefixes of the Etruscan-Campanian type	two palmette antefixes of the Etruscan-Campanian type	two palmette-type Etruscan-Campano-style antefixes	two Etruscan-Campania-style antefisses
sphendone bianca	white sphendone	sphendone white	white marshmallows	white sphendone	Già Trendall ha enucleato quattro seguaci del Pittore di Lipari: il Pittore delle tre Nikai, il Pittore della sphendone bianca, il Pittore della colomba e il pittore dei cigni, per la presenza di cigni tra le decorazioni floreali, che sostituiscono quasi totalmente le figure femminili.	Trendall has already highlighted four followers of the Painter of Lipari: the Painter of the three Nikai, the Painter of the white sphendone, the Painter of the dove and the Painter of the swans, for the presence of swans among the floral decorations, which almost totally replace female figures.	Trendall has already identified four followers of the Lipari Painter: the Painter of the three Nikai, the Painter of the white sphendone, the Painter of the dove and the painter of the swans, due to the presence of swans among the floral decorations, which almost completely replace the female figures .	Trendall has already enumerated four followers of the Lipari Painter: the Painter of the three Nikai, the Painter of the white sphendone, the Painter of the dove and the painter of the swans, for the presence of swans among the floral decorations, which almost totally replace the female figures.	Already Trendall has enucleated four followers of the Painter of Lipari: the Painter of the Three Nikai, the Painter of the White Sphendon, the Painter of the Dove and the Painter of the Swans, for the presence of swans among the floral decorations, which almost completely replace the female figures.
busto femminile	female torso	female bust	female bust	female bust	In alcune tombe i materiali hanno dimensioni notevoli: è questo il caso dell'hydria in bronzo, decorata sull'orlo da un busto femminile, analoga a un esemplare da Argo.	In some graves the materials are quite large and this is true of the hydria in bronze, decorated on the edge of a female torso, similar to a specimen from Argos.	In some tombs the materials are of considerable size: this is the case of the bronze hydria, decorated on the edge with a female bust, similar to a specimen from Argos.	n some tombs the materials are very large: this is the case of the bronze hydria, decorated on the hem by a female bust, similar to a specimen from Argos.	In some tombs the materials are very large: this is the case of the bronze hydria, decorated on the hem by a female bust, similar to a specimen from Argo.
cratere a campana	bell crater	bell crater	bell-shaped crater	bell crater	3) Cratere a campana del Pittore di Providence con Aurora (Eos) che insegue l'amato Tithonos, e nel lato posteriore appare Hermes (470 a.C. c.a.).	3) Bell crater by the Painter of Providence with Aurora (Eos) chasing the beloved Tithonos, with Hermes appearing on the back (around 470 BC).	3) Bell krater by the Providence Painter with Aurora (Eos) chasing the beloved Tithonos, and Hermes (470 BC c.a.) on the back side.	3) Providence Painter's bell-shaped crater with Aurora (Eos) chasing his beloved Tithonos, and on the back side appears Hermes (470 BC).	3) Providence Painter's Bell Crater with Aurora (Eos) chasing the beloved Tithonos, and Hermes (470 BC) appears in the back.
crateri a calice	chalices	chalice craters	goblet craters	chalice craters	Al pittore di Adrasto (forse attivo a Lipara) sono attribuiti due crateri a calice.	Two chalices are attributed to the painter of Adrastus (perhaps active in Lipara).	Two chalice craters are attributed to the painter of Adrasto (perhaps active in Lipara).	The painter from Adrasto (perhaps active in Lipara) is attributed two chalice craters.	The painter of Adrasto (perhaps active in Lipara) is attributed two craters to the chalice.
ceramica a vernice nera	black painted pottery	black painted ceramic	black varnished ceramic	black paint pottery	In fondo alla sala, sono esposti alcuni corredi da tombe coeve a quelle che hanno dato i grandi crateri (fine V - II metà IV secolo a.C.), ma formati da materiali di dimensioni modeste, e a volte miniaturistiche, in ceramica a vernice nera di produzione campana e siceliota.	Down the hall, some funeral kits from tombs from the same period as those where the large craters were found (late 5th - mid 4th century BC), but they consist of materials of modest dimensions, and sometimes miniatures, in black painted pottery from Campania and Sicily.	At the back of the room, there are some grave goods from contemporary tombs to those that gave rise to the large craters (late 5th - 2nd half 4th century BC), but made up of materials of modest size, and sometimes miniaturistic, in black-painted ceramic. bell and siceliota.	At the end of the room, there are some grave goods on display from tombs dating back to the same period as the large craters (end of the 5th - 2nd half of the 4th century B.C.), but made of modestly sized, and sometimes miniature, black painted ceramics from Campania and Sicily.	At the bottom of the room, some kits from coeve tombs are displayed to those that gave the large craters (end V - 2nd half 4th century BC), but formed from materials of modest size, and sometimes miniaturistic, ceramic to black paint of bell and siceliota production.
ceramica a figure rosse	red-figure pottery	red-figure pottery	red figure ceramics	red-figured ceramics	La ceramica a figure rosse ora propone lekanai e pissidi skyphoidi e la decorazione si incentra su poche figure, con soggetti legati al mondo dionisiaco e di Afrodite.	The red-figure pottery now proposes lekanai and skyphoide pyxes, while the decoration focuses on a few figures, with subjects related to the world of Dionysus and Aphrodite.	The red-figure pottery now features lekanai and skyphoid pyxes and the decoration focuses on a few figures, with subjects related to the Dionysian world and Aphrodite.	Red-figure ceramics now propose lekanai and pyxyphoid skyphoids and the decoration focuses on a few figures, with subjects related to the world of Dionysia and Aphrodite.	The red figure ceramic now offers lekanai and skyphoid pissids and the decoration focuses on a few figures, with subjects related to the world of Dionysian and Aphrodite.
blocchi isodomi	isodomic blocks	isodomal blocks	isodomic blocks	isodomic blocks	Del santuario sono state messe in luce tracce di due edifici che si susseguono, il primo di V secolo ed il successivo - rivelatosi un grande altare in blocchi isodomi - che nel IV sec. ingloba il precedente, nonché un sacello C.	The sanctuary revealed traces of two buildings that follow one another, the first from the fifth century and the next - which had a big altar in isodomic blocks - that encompassed the first in the fourth century, and a shrine C.	Traces of two successive buildings have been brought to light of the sanctuary, the first of the fifth century and the following - which turned out to be a large altar in isodomic blocks - which in the fourth century. it incorporates the previous one, as well as a chapel C.	Traces of the sanctuary have been brought to light of two successive buildings, the first in the 5th century and the next - a large altar made of isodomic blocks - which in the 4th century incorporated the previous one, as well as a sacellum C.	Traces of two successive buildings have been unearthed of the shrine, the first of the 5th century and the next - which turned out to be a large altar in isodomic blocks - which in the 4th century encompasses the previous one, as well as a sacello C.
arula in calcarenite importata	imported limestone arula	arula in imported calcarenite	imported calcarenite arula	arula in limestone	Al centro della parete opposta tra le finestre che si affacciano sul mare merita attenzione una piccola arula in calcarenite importata, a triplice altare a volute, modanata e su base a tre gradini.	At the centre of the opposite wall, between windows that overlook the sea, a small imported limestone arula deserves attention; it is a triple volute altar that is moulded and stands on three steps.	At the center of the opposite wall between the windows overlooking the sea, a small arula in imported calcarenite deserves attention, with a triple altar with volutes, molded and on a three-step base.	In the centre of the opposite wall between the windows overlooking the sea, a small imported calcarenite arula, with a triple altar with volutes, moulded and on a three-stepped base, deserves attention.	In the middle of the opposite wall between the windows overlooking the sea deserves attention a small arula in imported limestone, with triple altar in volute, molded and on a three-step basis.
pendenti a navicella	ship pendants	spacecraft pendants	nacelle pendants	ship pendants	Gli orecchini sono a cerchio con testa di animale o figurati, pendenti a navicella, realizzati in filigrana e in un caso con gancio coperto da un fiore.	The earrings are round with an animal head or figurine, ship pendants, made of filigree and in one case with a hook covered with a flower.	The earrings are hoop with animal head or figured, spacecraft pendants, made in filigree and in one case with hook covered by a flower.	The earrings are hoop earrings with animal head or figured, pendants a navicella, made of filigree and in one case with a hook covered by a flower.	The earrings are hooped with animal or figurative head, pendants ship, made of watermark and in one case with hook covered by a flower.
orecchini ad elica o a cerchio	helical or hoop earrings	helix or hoop earrings	helix or hoop earrings	propeller or hoop earrings	Al centro sono proposti gioielli provenienti da tombe del III sec. a.C.: collane a piccole sfere auree, anelli a fascia o a castone rilevato ad immagini incise, orecchini ad elica o a cerchio con gancio a forma di animale.	Al centro sono proposti gioielli provenienti da tombe del III sec. a.C.: collane a piccole sfere auree, anelli a fascia o a castone rilevato ad immagini incise, orecchini ad elica o a cerchio con gancio a forma di animale.	 In the center there are jewels from tombs of the III century. BC: necklaces with small golden spheres, band or bezel rings detected with engraved images, helix or hoop earrings with hook in the shape of an animal.	At the centre are jewellery from tombs dating back to the 3rd century B.C.: necklaces with small golden spheres, band or bezel rings with engraved images, helix or hoop earrings with animal-shaped hook.	In the center are jewelry from tombs of the 3rd century BC: necklaces with small golden spheres, band rings or chestnuts detected with engraved images, earrings propeller or hoop with hook in the shape of an animal.
cista in argilla	clay cistus	clay cyst	clay cyst	cista in clay	Si noti la cista in argilla, a volte non cotta, posta a all'esterno della tomba e che conteneva il corredo esterno.	Note the clay cistus, sometimes baked, placed outside the tomb, which contained the outside kit.	Note the clay cyst, sometimes unbaked, placed outside the tomb and which contained the external equipment.	Note the clay cyst, sometimes unfired, placed on the outside of the tomb and which contained the external outfit.	Note the clay cysta, sometimes unceded, placed to the outside of the tomb and which contained the outer set.
vasi attici a figure nere	 black-figure Attic vases	Attic black-figure vases	Attic vases with black figures	black-figure penthouse vases	I Peuketiantes, gli occupanti delle aree interne e montuose della Basilicata antica, sono rappresentati nel Museo di Palazzo Loffredo attraverso le armature dei loro guerrieri, e soprattutto i corredi funerari di un re (la tomba del Basileus) e della sua famiglia, che si caratterizzano per la ricchezza e la raffinatezza degli oggetti con loro sepolti (armi da parata e da guerra, vasellame e gioielli, e un ricco servizio di vasi attici a figure nere).	The Peuketiantes, the occupants of the inland and mountainous areas of ancient Basilicata, are represented in the Palazzo Loffredo Museum through the armour of their warriors and especially through the grave goods of a king (the tomb of the Basileus) and his family. These are characterised by the wealth and refinement of the objects buried with them (ceremonial and war weapons, tableware and jewellery, and a fine set of black-figure Attic vases).	The Peuketiantes, the occupants of the inland and mountainous areas of ancient Basilicata, are represented in the Museum of Palazzo Loffredo through the armor of their warriors, and above all the funerary objects of a king (the tomb of Basileus) and his family, who they are characterized by the richness and refinement of the objects buried with them (parade and war weapons, pottery and jewelry, and a rich set of Attic black-figure vases).	The Peuketiantes, the occupants of the internal and mountainous areas of ancient Basilicata, are represented in the Museum of Palazzo Loffredo through the armour of their warriors, and above all the funerary outfits of a king (the tomb of Basileus) and his family, which are characterised by the richness and refinement of the objects buried with them (parade and war weapons, pottery and jewellery, and a rich service of black-figure Attic vases).	The Peuketiantes, the occupants of the interior and mountainous areas of ancient Basilicata, are represented in the Loffredo Palace Museum through the armor of their warriors, and especially the funeral kits of a king (the tomb of Basileus) and his family, who are characterized by the richness and sophistication of the objects with them buried (weapons of parade and war , pottery and jewelry, and a rich service of penthouse vases with black figures).
iscrizioni funebri	funerary inscriptions	funeral inscriptions	funeral inscriptions	funeral inscriptions	Tra le iscrizioni funebri si ricordano la pateressa (la moglie del pater) Alessandra, ed i ricchi e potenti Aussanio e Marcello.	One of the funerary inscriptions remembers the pateressa (wife of the pater) Alessandra, and the rich and powerful Aussanius and Marcellus.	Among the funeral inscriptions we remember the pateressa (the wife of the pater) Alessandra, and the rich and powerful Aussanio and Marcello.	Among the funeral inscriptions are the pateressa (the wife of the pater) Alessandra, and the rich and powerful Aussanio and Marcello.	Among the funeral inscriptions are the pateressa (the wife of the pater) Alessandra, and the rich and powerful Aussanio and Marcello.
spada a lama corta	short-bladed sword	short blade sword	short blade sword	short-bladed sword	Quegli scudi si chiamano opla (plurale della parola greca hoplon) e caratterizzavano la dotazione dei soldati greci che non combattono più singolarmente, ma in falange, massa umana compatta di opliti che impugnano il loro scudo con la mano sinistra ed una lancia e una spada a lama corta con la mano destra.	Those shields are called hopla (plural form of the Greek word hoplon) and they typify the equipment of Greek soldiers, who did not fight individually, but in a phalanx, a compact human mass of hoplites who grasped their shield with their left hands and a short-bladed sword with their right.	Those shields are called opla (plural of the Greek word hoplon) and characterized the endowment of Greek soldiers who no longer fight individually, but in phalanx, a compact human mass of hoplites who hold their shield with their left hand and hold a short-bladed sword with the right hand.	Those shields are called opla (plural of the Greek word hoplon) and characterized the endowment of Greek soldiers who no longer fight individually, but in phalanx, a compact human mass of hoplites holding their shield with their left hand and a spear and a short-bladed sword with the right hand.	Those shields are called opla (plural of the Greek word hoplon) and characterized the endowment of Greek soldiers who no longer fight individually, but in phalanx, compact human mass of hoplites holding their shield with their left hand and a spear and a short-bladed sword with their right hand.
terme imperiali urbane	imperial urban baths	Urban imperial baths	Imperial Urban Spa	urban imperial baths	In the urban imperial baths, a marble statue of a nymph was found.	In the Imperial Urban Baths, a marble statue of a nymph was found.	In the urban imperial baths, a marble statue of a nymph was found.	In the Imperial Urban Baths, a marble statue of a nymph was found.	In the urban imperial baths, a marble statue of a nymph was found.
decorazione in stucco	stucco decoration	stucco decoration	stucco decoration	stucco decoration	Deve il suo nome alla decorazione in stucco di un ambiente che si apre presso l'atrio*, probabilmente un piccolo sacello domestico, con scene della guerra di Troia.	It owes its name to the stucco decoration of a room that opens near the atrium*, which probably consisted of a small home chapel, with scenes of the Trojan War.	It owes its name to the stucco decoration of a room that opens near the atrium *, probably a small domestic chapel, with scenes from the Trojan War.	Deve il suo nome alla decorazione in stucco di un ambiente che si apre presso l'atrio*, probabilmente un piccolo sacello domestico, con scene della guerra di Troia.	It owes its name to the stucco decoration of an environment that opens at the atrium, probably a small domestic sacello, with scenes from the Trojan War.
decorazione parietale	wall decoration	wall decoration	wall decoration	parietal decoration	La casa, dalla raffinata decorazione parietale, fu interessata da complesse vicende edilizie e per più di tre secoli.	The house, with its elegant wall decoration, was linked with the development of the building complexes and for more than three centuries.	The house, with its refined wall decoration, was affected by complex building events and for more than three centuries.	The house, with its refined wall decoration, was affected by complex building events and for more than three centuries.	The house, with refined parietal decoration, was affected by complex building events and for more than three centuries.
parete di fondo	back wall	back wall	back wall	bottom wall	Nel piccolo giardino la parete di fondo è decorata con animali selvaggi, tema di grande successo nella decorazione di aree aperte.	The back wall in the small garden is decorated with wild animals, a highly successful theme in the decoration of open areas.	In the small garden the back wall is decorated with wild animals, a very successful theme in the decoration of open areas.	In the small garden the back wall is decorated with wild animals, a very successful theme in the decoration of open areas.	In the small garden the back wall is decorated with wild animals, a very successful theme in the decoration of open areas.
capitelli cubici	cubic capitals	cubic capitals	cubic capitals	cubic capitals	Il primo impianto dell'abitazione risale all'età Sannitica* (II sec. a.C.) come testimoniato dai capitelli cubici del portale di ingresso, dove è conservato il mosaico pavimentale raffigurante un cane alla catena accucciato davanti ad una porta socchiusa, soggetto attestato a Pompei nelle decorazioni di età imperiale poiché simbolo della custodia della dimora.	The first layout of the house dates back to the Samnite* period (2nd century BC) as indicated by the cubic capitals at the entrance, where the mosaic floor depicting a chained dog crouched in front of an open door is preserved. This subject is found in Pompeii in the decorations of the Imperial period as a symbol of the custody of the dwelling.	The first layout of the house dates back to the Samnite age * (2nd century BC) as evidenced by the cubic capitals of the entrance portal, where the floor mosaic depicting a chain dog crouched in front of a half-open door is preserved. in the decorations of the imperial age as a symbol of the custody of the house.	The first layout of the house dates back to the Samnite* age (2nd century B.C.) as testified by the cubic capitals of the entrance portal, where the floor mosaic depicting a dog on a chain crouched in front of a door ajar is preserved, a subject attested in Pompeii in the decorations of the imperial age as a symbol of the custody of the house.	The first plant of the house dates back to the Sannitica age (II century BC) as witnessed by the cubic capitals of the entrance portal, where is preserved the floor mosaic depicting a dog to the chain crouched in front of a door ajar, subject attested to pompeii in the decorations of imperial age since symbol of the custody of the dwelling.
torchio ligneo	wooden press	wooden press	wooden press	wooden press	La villa comprende anche un quartiere destinato alla produzione del vino con un torchio ligneo ricostruito.	The villa also includes an area intended for the production of wine with a rebuilt wooden press.	The villa also includes a district for the production of wine with a reconstructed wooden press	The villa also includes a wine production area with a reconstructed wooden press.	The villa also includes a wine-producing district with a reconstructed wooden press.
cornice marmorea	marble frame	marble frame	marble frame	marble frame	La ricca cornice marmorea del portale con girali d'acanto popolati da animali venne rinvenuta nel Foro	The rich marble frame of the entrance with scrolls of acanthus filled with animals was found in the Forum 	The rich marble frame of the portal with acanthus spirals populated by animals was found in the Forum	The rich marble frame of the portal with acanthus girals populated by animals was found in the Forum.	The rich marble frame of the portal with acanthn girali populated by animals was found in the Forum
tripode delfico	Delphic tripod	Delphic tripod	tripod	delphic tripod	attraverso un cancello aperto si intravede il tripode delfico, con fiaccola alla base, immerso in un giardino di allori attorniato da un portico a tre bracci con due ordini di colonne ioniche e doriche.	Through an open gate we can see the Delphic tripod, with a torch at the base, immersed in a garden of laurels and surrounded by a portico with three arms with two orders of Ionic and Doric columns.	through an open gate you can see the Delphic tripod, with a torch at the base, immersed in a garden of laurels surrounded by a three-branched portico with two orders of Ionic and Doric columns.	Through an open gate you can catch a glimpse of the Delphic tripod, with torch at its base, immersed in a garden of laurels surrounded by a three-armed portico with two orders of Ionic and Doric columns.	through an open gate you can see the tripod of the delphic, with torch at the base, nestled in a garden of laurels surrounded by a three-arm porch with two orders of Ionian and Doric columns.
pone scaenam	pone scaenam	poses scaenam	pone scaenam	poses scaenam	I sontuosi affreschi di II stile* che rappresentano forse il frontescena* di un teatro, al di sopra delle quali si intravede la fuga prospettica delle colonne dei porticati pone scaenam*, sono arricchiti da numerosi dettagli.	The sumptuous frescoes in Second Style* that perhaps represent the Scaenae frons* of a theatre, above which the perspective flight of the columns of the porticoes can be seen pone scaenam*, are enriched by numerous details.	The sumptuous II style frescoes that perhaps represent the front scene of a theater, above which the perspective escape of the columns of the porticoed poses scaenam can be seen, are enriched by numerous details.	The sumptuous frescoes in the second style, which perhaps represent the front scene of a theatre, above which one can glimpse the perspective flight of the columns of the porticoes posed scaenam, are enriched by numerous details.	The sumptuous frescoes of the II style that perhaps represent the front of a theatre, above which you can see the perspective escape of the columns of the arcades places scaenam, are enriched with numerous details.
opus craticium	opus craticium	opus craticium	opus craticium	opus craticium	Anche qui lo spazio tra le colonne, rivestite di intonaco a squame bianche e rosse, è chiuso da tratti di muro in opus craticium*, affrescati in IV stile	Here too, the space between the columns, covered with red and white scales, is closed by opus craticium* wall sections, frescoed in Fourth Style	Here too the space between the columns, covered with white and red scaled plaster, is closed by sections of the wall in opus craticium, frescoed in the fourth style	Here too the space between the columns, covered with red and white scale plaster, is closed by sections of wall in opus craticium, frescoed in IV style	Here, too, the space between the columns, covered with white and red scale plaster, is closed by stretches of wall in opus craticium, frescoed in IV style
